DATE,VaR_MC_95
2020-09-15,-0.021229201102617924
2020-09-16,-0.021106431205765434
2020-09-17,-0.02115491983813705
2020-09-18,-0.02117785719756945
2020-09-21,-0.021235312942918055
2020-09-22,-0.02118867553315834
2020-09-23,-0.021151314528374255
2020-09-24,-0.02140969536176836
2020-09-25,-0.021254607912881102
2020-09-28,-0.021043801240310373
2020-09-29,-0.021241071534548274
2020-09-30,-0.021211447360258654
2020-10-01,-0.021167144341746012
2020-10-02,-0.02116140828654725
2020-10-05,-0.021135317764196273
2020-10-06,-0.0211452223460565
2020-10-07,-0.021255300622429096
2020-10-08,-0.021036644727233583
2020-10-09,-0.021200155560354494
2020-10-13,-0.021013243171660895
2020-10-14,-0.02111470392341798
2020-10-15,-0.02121996628234084
2020-10-16,-0.021281441337333652
2020-10-19,-0.021153490675620248
2020-10-20,-0.021172692635231447
2020-10-21,-0.021119070883063883
2020-10-22,-0.021256676702570313
2020-10-23,-0.021170644583259752
2020-10-26,-0.021362311714373826
2020-10-27,-0.021345033185265774
2020-10-28,-0.021286852568966633
2020-10-29,-0.021447541171739682
2020-10-30,-0.021574864565698973
2020-11-02,-0.0215881367788959
2020-11-03,-0.021569471126432132
2020-11-04,-0.02154839242754234
2020-11-05,-0.021545198007486218
2020-11-06,-0.021559108010688163
2020-11-09,-0.021516208855302074
2020-11-10,-0.02162000801193959
2020-11-12,-0.021510321366187534
2020-11-13,-0.021402864938591986
2020-11-16,-0.021474198912409148
2020-11-17,-0.021504798744183068
2020-11-18,-0.02145327482452252
2020-11-19,-0.021700095582733663
2020-11-20,-0.021543217146813225
2020-11-23,-0.02152758218802945
2020-11-24,-0.02165359123917281
2020-11-25,-0.021517549923596738
2020-11-30,-0.02152907797071283
2020-12-01,-0.02156668587832892
2020-12-02,-0.021593337762455343
2020-12-03,-0.02154328492376061
2020-12-04,-0.021467146006638325
2020-12-07,-0.021465360140959202
2020-12-08,-0.021577247442746424
2020-12-09,-0.021549066307926922
2020-12-10,-0.02172759078480522
2020-12-11,-0.02154639636769317
2020-12-14,-0.021547035624405624
2020-12-15,-0.021639629951233946
2020-12-16,-0.02138375137684615
2020-12-17,-0.021669956180927354
2020-12-18,-0.02152250493807143
2020-12-21,-0.0215583709481582
2020-12-22,-0.021527531161858217
2020-12-23,-0.02163777520321105
2020-12-28,-0.02172449369288962
2020-12-29,-0.02161228645265347
2020-12-30,-0.02160081662947991
2020-12-31,-0.02159513622441562
2021-01-04,-0.021666463495500696
2021-01-05,-0.021699359405263446
2021-01-06,-0.02153141099394204
2021-01-07,-0.021498903810146207
2021-01-08,-0.02155408483173502
2021-01-11,-0.021715013406203548
2021-01-12,-0.02166605733335926
2021-01-13,-0.02166503580078459
2021-01-14,-0.021625561992483493
2021-01-15,-0.021591420467737932
2021-01-19,-0.021731653439963045
2021-01-21,-0.02177378582449493
2021-01-22,-0.02159368709823506
2021-01-25,-0.02173592300070013
2021-01-26,-0.021728230457959775
2021-01-27,-0.021556494915630598
2021-01-28,-0.02181869949567409
2021-01-29,-0.02187784246679741
2021-02-01,-0.021742165015333607
2021-02-02,-0.021784362122956355
2021-02-03,-0.021700935863944705
2021-02-04,-0.021660216040916933
2021-02-05,-0.02191842615809027
2021-02-08,-0.021659945853345478
2021-02-09,-0.021686416236674038
2021-02-10,-0.021792323769463825
2021-02-11,-0.021822361411639832
2021-02-12,-0.021662704770674394
2021-02-16,-0.021801659964045067
2021-02-17,-0.02165152822015904
2021-02-18,-0.021835491204890995
2021-02-19,-0.021779698732670685
2021-02-22,-0.021757043428789695
2021-02-23,-0.02156146816354518
2021-02-24,-0.021638195850852058
2021-02-25,-0.02157773229693529
2021-02-26,-0.021803979067276765
2021-03-01,-0.02162393484986512
2021-03-02,-0.021423604109489687
2021-03-03,-0.021568776012605782
2021-03-04,-0.021365808217738192
2021-03-05,-0.021393481829165163
2021-03-08,-0.021090062580397615
2021-03-09,-0.021048316891676824
2021-03-10,-0.020828478911691407
2021-03-11,-0.020733797172900952
2021-03-12,-0.02061366349306922
2021-03-15,-0.01999686055838078
2021-03-16,-0.020015578855760774
2021-03-17,-0.0194942860997991
2021-03-18,-0.018058409039805504
2021-03-19,-0.017670342690025632
2021-03-22,-0.015498196702528645
2021-03-23,-0.015463751415642305
2021-03-24,-0.0148828086161764
2021-03-25,-0.014870182522886062
2021-03-26,-0.014375852058068081
2021-03-29,-0.014232574128066144
2021-03-30,-0.013461990001086424
2021-03-31,-0.013540401267769073
2021-04-01,-0.013074122685269527
2021-04-05,-0.012800607713072214
2021-04-06,-0.012653931646925935
2021-04-07,-0.012609869831946507
2021-04-08,-0.012074145773625285
2021-04-09,-0.012082458348768633
2021-04-12,-0.011837926267451261
2021-04-13,-0.01139332913613638
2021-04-14,-0.011398559026525427
2021-04-15,-0.011348836473624184
2021-04-16,-0.011326831883785663
2021-04-19,-0.011336911126896276
2021-04-20,-0.011258795385358808
2021-04-21,-0.011014763864629474
2021-04-22,-0.011070311465864508
2021-04-23,-0.01108831551787529
2021-04-26,-0.010911720423270233
2021-04-27,-0.010619741889714868
2021-04-28,-0.010603424524756723
2021-04-29,-0.010659028636602973
2021-04-30,-0.010531134884193922
2021-05-03,-0.010712834488535385
2021-05-04,-0.010646186477273478
2021-05-05,-0.010621922202167247
2021-05-06,-0.0106877693347842
2021-05-07,-0.010474625847342371
2021-05-10,-0.010518884183201573
2021-05-11,-0.010450677153608603
2021-05-12,-0.010520837229501603
2021-05-13,-0.010747930997119456
2021-05-14,-0.010740477525811042
2021-05-17,-0.010656752778336711
2021-05-18,-0.010602966637636073
2021-05-19,-0.010560006962977543
2021-05-20,-0.010495811931053601
2021-05-21,-0.010600764450086255
2021-05-24,-0.010437748191124321
2021-05-25,-0.010378626403475328
2021-05-26,-0.010302437466406479
2021-05-27,-0.010348260204497436
2021-05-28,-0.010340838310419447
2021-06-01,-0.010369817905978448
2021-06-02,-0.010335866089620858
2021-06-03,-0.010307078840542187
2021-06-04,-0.010376645870838334
2021-06-07,-0.010351071120504275
2021-06-08,-0.010486423648044257
2021-06-09,-0.01040658057495893
2021-06-10,-0.010350070962581932
2021-06-11,-0.010388161714635523
2021-06-14,-0.010401522304489479
2021-06-15,-0.01026991353631113
2021-06-16,-0.01028904536706067
2021-06-17,-0.009579281017770514
2021-06-18,-0.009661725635665877
2021-06-21,-0.009681560873366007
2021-06-22,-0.00974113686635997
2021-06-23,-0.00974760036672396
2021-06-24,-0.009669604050737758
2021-06-25,-0.009719420983496528
2021-06-28,-0.009570764941027255
2021-06-29,-0.009749166808673864
2021-06-30,-0.009396677291025363
2021-07-01,-0.009366533129354416
2021-07-02,-0.009164067360039413
2021-07-06,-0.009217791536907525
2021-07-07,-0.009231576382338383
2021-07-08,-0.009298131734587675
2021-07-09,-0.009215383930773452
2021-07-12,-0.009253494299419466
2021-07-13,-0.009172722601532771
2021-07-14,-0.009177332097309452
2021-07-15,-0.00914093699766593
2021-07-16,-0.009299343124972919
2021-07-19,-0.009145137702503636
2021-07-20,-0.009285930667442786
2021-07-21,-0.009277425011493708
2021-07-22,-0.009269081042176157
2021-07-23,-0.009330456039355214
2021-07-26,-0.009321647060182169
2021-07-27,-0.009246699286973088
2021-07-28,-0.009291977011989905
2021-07-29,-0.009262240799292318
2021-07-30,-0.009280626242864038
2021-08-02,-0.00921506598425477
2021-08-03,-0.009252433580292032
2021-08-04,-0.009342635881942058
2021-08-05,-0.009241850935117878
2021-08-06,-0.00923251703207834
2021-08-09,-0.009301475201576575
2021-08-10,-0.009255949638117439
2021-08-11,-0.009198309769616714
2021-08-12,-0.009250631266517931
2021-08-13,-0.009269336726129852
2021-08-16,-0.009283507491080301
2021-08-17,-0.009178221564800531
2021-08-18,-0.009239741688315326
2021-08-19,-0.00929520355672004
2021-08-20,-0.009322131171496134
2021-08-23,-0.009290724427080406
2021-08-24,-0.009263192729829466
2021-08-25,-0.009198050733698887
2021-08-26,-0.009306393227204997
2021-08-27,-0.00925338029502051
2021-08-30,-0.009292014778797967
2021-08-31,-0.009309784074937356
2021-09-01,-0.00928949458383354
2021-09-02,-0.009278880847663463
2021-09-03,-0.009266947325853838
2021-09-07,-0.009259191322129295
2021-09-08,-0.009305717923566091
2021-09-09,-0.009394702522122845
2021-09-10,-0.00902706869465061
